run_id,scenario,model_name,trial_id,text_column,tfidf_params_json,tfidf_analyzer,tfidf_max_features,tfidf_ngram_range,tfidf_min_df,tfidf_max_df,tfidf_sublinear_tf,model_params_json,model_params_effective_json,class_weight,solver,C,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,reg_alpha,accuracy_val,macro_precision_val,macro_recall_val,macro_f1_val,weighted_precision_val,weighted_recall_val,weighted_f1_val,micro_precision_val,micro_recall_val,micro_f1_val,train_time_sec,val_predict_time_sec,fallback_used,warning_message,status,notes,rank_global,rank_within_scenario_model,is_best_for_scenario_model,is_best_overall
deep_20260612_180817,01_Raw_Data,LogisticRegression,29,post_content_for_labeling,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 2], ""min_df"": 1, ""max_df"": 0.95, ""sublinear_tf"": true}",word,50000,"(1, 2)",1,0.95,True,"{""C"": 10.0, ""solver"": ""lbfgs""}","{""C"": 10.0, ""solver"": ""lbfgs""}",,lbfgs,10.0,,,,,,,,0.7252090800477897,0.6825892795969285,0.6454628248530964,0.6492228034107059,0.7356969521303393,0.7252090800477897,0.7244159299705369,0.7252090800477897,0.7252090800477897,0.7252090800477897,6.913616040999997,0.0032702499999999,False,,success,,1,1,True,True
deep_20260612_180817,01_Raw_Data,LinearSVC,42,post_content_for_labeling,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 2], ""min_df"": 1, ""max_df"": 0.95, ""sublinear_tf"": true}",word,50000,"(1, 2)",1,0.95,True,"{""C"": 2.0, ""class_weight"": null}","{""C"": 2.0, ""class_weight"": null}",,,2.0,,,,,,,,0.7299880525686977,0.7038876861700615,0.6293811720386197,0.6455106868731967,0.7250787090725531,0.7299880525686977,0.7200920681999244,0.7299880525686977,0.7299880525686977,0.7299880525686977,0.7222444580002048,0.0004391669999677,False,,success,,2,1,True,False
deep_20260612_180817,02_Basic_Clean,LinearSVC,42,post_content_for_labeling,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 2], ""min_df"": 1, ""max_df"": 0.95, ""sublinear_tf"": true}",word,50000,"(1, 2)",1,0.95,True,"{""C"": 2.0, ""class_weight"": null}","{""C"": 2.0, ""class_weight"": null}",,,2.0,,,,,,,,0.7311827956989247,0.707444921899534,0.6310753937370319,0.6453179088603869,0.7280764919043513,0.7311827956989247,0.7209405422417219,0.7311827956989247,0.7311827956989247,0.7311827956989247,0.7329886249999618,0.0005442090005089,False,,success,,3,1,True,False
deep_20260612_180817,04_No_Stopwords,LinearSVC,24,post_content_for_labeling,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 2], ""min_df"": 3, ""max_df"": 0.95, ""sublinear_tf"": true}",word,50000,"(1, 2)",3,0.95,True,"{""C"": 2.0, ""class_weight"": ""balanced""}","{""C"": 2.0, ""class_weight"": ""balanced""}",balanced,,2.0,,,,,,,,0.7264038231780168,0.6630157288155332,0.6472308641619167,0.6451515048310992,0.7291212020918428,0.7264038231780168,0.7241593774941771,0.7264038231780168,0.7264038231780168,0.7264038231780168,0.642058540999642,0.0005234580003161,False,,success,,4,1,True,False
deep_20260612_180817,01_Raw_Data,LinearSVC,41,post_content_for_labeling,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 2], ""min_df"": 2, ""max_df"": 0.95, ""sublinear_tf"": true}",word,50000,"(1, 2)",2,0.95,True,"{""C"": 2.0, ""class_weight"": null}","{""C"": 2.0, ""class_weight"": null}",,,2.0,,,,,,,,0.7287933094384708,0.7111740588958564,0.6282762882839283,0.6447087763468891,0.7263370597908162,0.7287933094384708,0.7186299184099989,0.7287933094384708,0.7287933094384708,0.7287933094384708,0.7106069999999818,0.00042804099985,False,,success,,5,2,False,False
deep_20260612_180817,01_Raw_Data,LogisticRegression,23,post_content_for_labeling,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 2], ""min_df"": 2, ""max_df"": 0.95, ""sublinear_tf"": true}",word,50000,"(1, 2)",2,0.95,True,"{""C"": 5.0, ""solver"": ""lbfgs""}","{""C"": 5.0, ""solver"": ""lbfgs""}",,lbfgs,5.0,,,,,,,,0.7204301075268817,0.659846360135637,0.6486865285378338,0.6442693609590552,0.7331434558608529,0.7204301075268817,0.7222104827147581,0.7204301075268817,0.7204301075268817,0.7204301075268817,6.21118270800001,0.003586791999993,False,,success,,6,2,False,False
deep_20260612_180817,01_Raw_Data,LogisticRegression,28,post_content_for_labeling,"{""analyzer"": ""word"", ""max_features"": 70000, ""ngram_range"": [1, 2], ""min_df"": 2, ""max_df"": 0.95, ""sublinear_tf"": true}",word,70000,"(1, 2)",2,0.95,True,"{""C"": 10.0, ""solver"": ""lbfgs""}","{""C"": 10.0, ""solver"": ""lbfgs""}",,lbfgs,10.0,,,,,,,,0.7204301075268817,0.6712923177435455,0.6429995515526824,0.6439506013826531,0.7299216162972146,0.7204301075268817,0.7197241196059599,0.7204301075268817,0.7204301075268817,0.7204301075268817,8.213926125,0.0032147080000015,False,,success,,7,3,False,False
deep_20260612_180817,01_Raw_Data,LogisticRegression,27,post_content_for_labeling,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 2], ""min_df"": 2, ""max_df"": 0.95, ""sublinear_tf"": true}",word,50000,"(1, 2)",2,0.95,True,"{""C"": 10.0, ""solver"": ""lbfgs""}","{""C"": 10.0, ""solver"": ""lbfgs""}",,lbfgs,10.0,,,,,,,,0.7204301075268817,0.6712923177435455,0.6429995515526824,0.6439506013826531,0.7299216162972146,0.7204301075268817,0.7197241196059599,0.7204301075268817,0.7204301075268817,0.7204301075268817,9.35738950000001,0.0117768330000131,False,,success,,8,4,False,False
deep_20260612_180817,02_Basic_Clean,LinearSVC,41,post_content_for_labeling,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 2], ""min_df"": 2, ""max_df"": 0.95, ""sublinear_tf"": true}",word,50000,"(1, 2)",2,0.95,True,"{""C"": 2.0, ""class_weight"": null}","{""C"": 2.0, ""class_weight"": null}",,,2.0,,,,,,,,0.7299880525686977,0.7021865066585985,0.6304933929116233,0.6436947781394804,0.7264515911210716,0.7299880525686977,0.7200563531438036,0.7299880525686977,0.7299880525686977,0.7299880525686977,0.71374512499915,0.000461250000626,False,,success,,9,2,False,False
deep_20260612_180817,05_Balanced,LogisticRegression,29,post_content_for_labeling,"{""analyzer"": ""word"", ""max_features"": 50000, ""ngram_range"": [1, 2], ""min_df"": 1, ""max_df"": 0.95, ""sublinear_tf"": true}",word,50000,"(1, 2)",1,0.95,True,"{""C"": 10.0, ""solver"": ""lbfgs""}","{""C"": 10.0, ""solver"": ""lbfgs""}",,lbfgs,10.0,,,,,,,,0.7204301075268817,0.6802916548209178,0.638003630590219,0.6428637870864259,0.7240624042980786,0.7204301075268817,0.7146113082118503,0.7204301075268817,0.7204301075268817,0.7204301075268817,6.856811249999737,0.0028517909995571,False,,success,,10,1,True,False
deep_20260612_180817,01_Raw_Data,LinearSVC,37,post_content_for_labeling,"{""analyzer"": ""word"", ""max_features"": 30000, ""ngram_range"": [1, 2], ""min_df"": 2, ""max_df"": 0.95, ""sublinear_tf"": true}",word,30000,"(1, 2)",2,0.95,True,"{""C"": 1.0, ""class_weight"": null}","{""C"": 1.0, ""class_weight"": null}",,,1.0,,,,,,,,0.7335722819593787,0.7114576921265664,0.6269596407000005,0.6424679478104528,0.7285674678926899,0.7335722819593787,0.7210587184109577,0.7335722819593787,0.7335722819593787,0.7335722819593787,0.601018583000041,0.0006847079998806,False,,success,,11,3,False,False
